Offer,Description,Eligible Credit Cards,Eligible Debit Cards,Unnamed: 4
EazyDiner IndusInd Bank Credit Card,25% Off upto Rs.1000. No min. bill value. Valid every single time. EazyDiner IndusInd Signature Credit Card.,IndusInd Eazydiner Credit Card,,
EazyDiner IndusInd Bank Credit Card,20% Off upto Rs.500. No min. bill value. Valid thrice per card per month. EazyDiner IndusInd Platinum Credit Card.,Indusind Eazydiner Platinum Credit Card,,
EazyDiner IndusInd Bank Platinum Card,20% Off upto Rs.500. No min. bill value. Valid thrice per card per month. EazyDiner IndusInd Platinum Credit Card.,Indusind Eazydiner Platinum Credit Card,,
American Express??? Cards,Flat Rs.2000 Off. Min. bill of Rs.10000. Valid once per card per month. American Express Centurion Card only.,American Express Centurion Credit Card,,
American Express??? Cards,Flat Rs.1500 Off. Min. bill of Rs.7500. Valid once per card per month. American Express Platinum Charge Card only.,American Express Platinum Charge Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Cred IndusInd Rupay Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Bank Club Vistara Explorer Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Bank Platinum RuPay Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Celesta American Express Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Eazydiner Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Intermiles Odyssey Visa Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Pioneer Legacy Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd Tiger Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,IndusInd ePay Amex Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Bank Avios Visa Infinite Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Bank Nexxt Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Crest Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Eazydiner Platinum Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Indulge Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Indus Solitaire Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind InterMiles Odyssey Amex Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Legend Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Pinnacle Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Pioneer Heritage Credit Card,,
IndusInd Bank Credit Cards,15% Off upto Rs.750. Min. bill of Rs.2000. Valid once per month. IndusInd Bank Credit Cards.,Indusind Platinum Aura Edge Credit Card,,
