Serial Number,Eligible Credit Cards,Bank Name,Offer,Image
1,Samsung Axis Bank Infinite Credit Card,Axis Bank,"Customers can get up to 25% off, up to inr 800, and can be availed twice per month, at 4000+ restaurants in india through the eazydiner app.",https://static.wixstatic.com/media/2a565f_1d141940d71f4e18bf61a45f7a4249db~mv2.jpg
2,Axis Bank Miles And More World Credit Card,Axis Bank,Users will get up to 40% off on select restaurants,https://static.wixstatic.com/media/f836e8_5ae3062000cd4c4f9dba812c2e18f3d9~mv2.webp
3,Tata Star Titanium Card,State Bank of India,3% cashback rate on dining.,https://static.wixstatic.com/media/2a565f_ece1d1a8eece4e1da5886db960ad6b8b~mv2.webp
4,Axis Bank Horizon Credit Card,Axis Bank,Users can get 25% discount on dining through eazydiner app.,https://static.wixstatic.com/media/200895_cac8fb802deb45f19ace0fcfd0b104d0~mv2.webp
5,Axis Bank Neo Credit Card ,Axis Bank,Customers can receive a 15% discount at partner restaurants,https://static.wixstatic.com/media/2a565f_e896fdbc79064918b8720d3e3d61b636~mv2.webp
6,Paytm HDFC Bank Credit Card,Paytm,Users can get a discount of up to 20% discount on partner restaurants via swiggy dineout while using the credit card,https://static.wixstatic.com/media/200895_e04d60d2a74e4b46a62a7ade815644b5~mv2.png
7,FabIndia SBI Card,State Bank of India,Dining/entertainment cashback rate: 2%,https://static.wixstatic.com/media/f836e8_49060cd6a87843128929c67316fe369e~mv2.webp
8,Canara Bank Rupay Select Secured Credit Card,Canara Bank,Users will get a 5% cashback offer on eating places & restaurants which is capped at Rs. 50 per month.,https://canarabank.com/assets/images/Rupay%20Select%20Horizontal%202203024.jpg
9,HDFC Bank Infinia Credit Card Metal Edition,HDFC Bank,Users can get upto 20% off upto using Swiggy Dineout App and Infinia card for restaurant bill payment.,https://static.wixstatic.com/media/2a565f_c8c3857cd8014bdf98db1592e91e26d9~mv2.webp
10,DBS Spark20 Credit Card ,DBS Bank,"Cardholders on crossing the monthly spends threshold of Rs. 20000 will earn 20X points on utility, dining & grocery spends(maximum 7000 cash points. Effective dining cashback rate 4%",https://static.bankbazaar.com/images/india/infographic/dbs-bank-spark-credit-card.webp
11,SELECT,Bank of Baroda,"Users will earn 5 reward points for every rs 100 spent on dining and online spending, an effective cashback rate: of 1%",https://static.wixstatic.com/media/2a565f_4290ff883af140b7ab30dbfed6e2116a~mv2.webp
12,PVR Inox Kotak Credit Card ,Kotak Mahindra Bank,Food and beverage benefits: users will get 20% discount on food and beverages every time at inox,https://static.wixstatic.com/media/2a565f_a8db832e5fbb407bb2fed7fdf0413415~mv2.webp
13,Axis Bank Vistara Infinite Credit Card,Axis Bank,User will get upto 20% off using Eazydiner app.,https://static.wixstatic.com/media/f836e8_b3af0caf0f494805b49693727f392d83~mv2.webp
14,HDFC Bank UPI RuPay Credit Card ,HDFC Bank,"Users will get 3% cash points on groceries, supermarket & dining spends &�PayZapp transactions. (A maximum of 500 points can be earned in a calendar month).",https://static.wixstatic.com/media/2a565f_f97e2e93bd3145e1bf183219d1614849~mv2.png
15,Indusind Indus Solitaire Credit Card,IndusInd Bank,"Users also get a joining bonus of 2000 eazydiner eazypoints; free eazydiner membership which guarantees 25% and up to 50% discount at over 2000 best restaurants in india and dubai; exclusive 1+1 deals on buffets at hotels and 2x (double) eazypoints every time they eat out, redeemable for free meals, free 5-star hotel; exclusive foodie events; users will get 20% off while dining at fortune and welcomheritage hotels; get 50% bonus green points on dining spends at select restaurants at itc hotels on fridays; get 50% bonus green points on your's and your spouse's birthday week on your dining spends.",https://static.wixstatic.com/media/257766_c197dba400ed4b739fd57d0ebff608f3~mv2.png
16,Aditya Birla SBI Card Select,State Bank of India,Dining/entertainment/hotel cashback rate: 2%,https://static.wixstatic.com/media/f836e8_d324e0457822444d92d64afd0fd41998~mv2.webp
17,HDFC Pixel Play Credit Card,HDFC Bank,Users will get up to 25% off on dining through Swiggy Dineout.,https://static.wixstatic.com/media/f836e8_b2ce0712ecac4bfdbf175406074af437~mv2.jpg
18,Yes Prosperity Edge Credit Card,Yes Bank,Dining cashback rate: 1%. Dining benefits: 15% discount on dining at select restaurants,https://static.wixstatic.com/media/f836e8_d7eacc8b25dc427ba248abf32bdd182f~mv2.webp
